Words			Original Roots		Predicted roots
شکیل		شکیل			شکیلیی
کے		کے			کا
علاوہ		علاوہ			علاوہ
ریحان		ریحان			ریحان
بٹ		بٹ			بٹ
اور		اور			اور
وسیم		وسیم			وسیمٹ
احمد		احمد			احمد
کو		کو			کو
ٹیم		ٹیم			ٹیم
سے		سے			سے
اخراج		اخراج			اخراج
کا		کا			کا
شبہ		شبہ			شبہپپ
تھا		تھا			تھا
کیونکہ		کیونکہ			کیونکہہ
ان		وہ			یہ
کے		کا			کا
تعلق		تعلق			تعلقللل
سے		سے			سے
اطلاعات		اطلاع			اطلاع
مےں		مےں			مےں
کہا		کہہ			کہہ
گیا		جا			جا
تھا		تھا			تھا
کہ		کہ			کہ
ان		وہ			یہ
تینوں		تین			تین
کو		کو			کو
ہندوستانی		ہندوستانی			ہندوستانی
ٹیم		ٹیم			ٹیم
مےں		مےں			مےں
باغی		باغی			باغی
لیگ		لیگ			لیگ
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
کھیلنے		کھیل			کھیل
کے		کے			کا
لیے		لیے			لیے
تیار		تیار			تیار
کر		کر			کر
لیا		لے			لے
گیا		جا			جا
ہے		ہے			ہے
اس		وہ			یہ
کے		کے			کا
علاوہ		علاوہ			علاوہ
پنالٹی		پنالٹی			پنالٹی
کارنر		کارنر			کارنرررم
اسپیشلسٹ		اسپیشلسٹ			اسپیشلسٹ
سہیل		سہیل			سہیلگ
عباس		عباس			عباس
کو		کو			کو
بھی		بھی			بھی
ٹیم		ٹیم			ٹیم
مےں		مےں			مےں
شامل		شامل			شامل
کیا		کر			کر
گیا		جا			جا
ہے		ہے			ہے
تاہم		تاہم			تاہم
انہیں		وہ			یہ
قیادت		قیادت			قیادت
نہیں		نہیں			نہیں
سونپی		سونپ			سونپی
گئی		جا			جا
ہے		ہے			ہے
۔		۔			۔
ذیشان		ذیشان			ذیشان
اشرف		اشرف			اشرففف
نے		نے			نے
خود		خود			خود
ہی		ہی			ہی
پہلے		پہلے			پہلے
واضح		واضح			واضح
کر		کر			کر
دیا		دے			دے
تھا		تھا			تھا
کہ		کہ			کہ
وہ		وہ			وہ
اذلان		اذلان			اذلان
شاہ		شاہ			شاہش
ہاکی		ہاکی			ہاکیا
کپ		کپ			کپ
کے		کے			کا
لئے		لئے			لئے
دستیاب		دستیاب			دستیاب
نہیں		نہیں			نہیں
رہیں_گے		رہ			رہ
۔		۔			۔
اذلان		اذلان			اذلان
شاہ		شاہ			شاہش
کپ		کپ			کپ
کے		کے			کا
لئے		لئے			لئے
منتخبہ		منتخبہ			منتخبہ
ٹیم		ٹیم			ٹیم
مےں		مےں			مےں
عمران		عمران			عمران
شاہ		شاہ			شاہش
,		,			,
فرید		فرید			فرید
احمد		احمد			احمد
,		,			,
کاشف		کاشف			کاشففف
شاہ		شاہ			شاہش
,		,			,
محمد		محمد			محمدد
توصیف		توصیف			توصیف
,		,			,
ریحان		ریحان			ریحان
بٹ		بٹ			بٹ
,		,			,
وقاص		وقاص			وقاص
اکبر		اکبر			اکبرر
,		,			,
محمد		محمد			محمدد
زبیر		زبیر			زبیر
,		,			,
عمر		عمر			عمر
بھوٹا		بھوٹا			بھوٹا
,		,			,
محمد		محمد			محمدد
راشد		راشد			راشد
,		,			,
حسین		حسین			حسین
خان		خان			خان
اور		اور			اور
محمد		محمد			محمدد
عمران		عمران			عمران
جونئیر		جونئیر			جونییر
بھی		بھی			بھی
شامل		شامل			شامل
ہیں		ہے			ہے
۔		۔			۔
سابق		سابق			سابقق
پاکستانی		پاکستانی			پاکستانی
کرکٹ		کرکٹ			کرکٹ
کپتان		کپتان			کپتان
راشد		راشد			راشد
لطیف		لطیف			لطیفییییی
نے		نے			نے
سابق		سابق			سابقق
سری_لنکن		سری			سری_لنکنگ
کپتان		کپتان			کپتان
ہاشن		ہاشن			ہاشنششششش
تلک		تلک			تلکل
رتنے		رتنے			رتن
کے		کا			کا
اس		وہ			یہ
ادعا		ادعا			ادعا
کی		کا			کا
تائید		تائید			تائید
کی		کر			کا
ہے		ہے			ہے
کہ		کہ			کہ
سری_لنکائی		سری			سری_لنکائی
کرکٹ		کرکٹ			کرکٹ
ٹیم		ٹیم			ٹیم
گذشتہ		گذشتہ			گذشتہف
تقریباً		تقریبا			تقریباً
دو		دو			دو
دہوں		دہ			دہ
سے		سے			سے
میچ		میچ			میچ
فکسنگ		فکسنگ			فکسنگگننہ
مےں		مےں			مےں
ملوث		ملوث			ملوث
ہے		ہے			ہے
۔		۔			۔
یہ		یہ			یہ
آج		آج			آج
بھی		بھی			بھی
کینسر		کینسر			کینسرو
کی		کا			کا
طرح		طرح			طرحر
پھیل		پھیل			پھیلییی
رہی		رہ			رہ
ہے		ہے			ہے
۔		۔			۔
ان		وہ			یہ
کا		کا			کا
کہنا		کہہ			کہہہ
ہے		ہے			ہے
کہ		کہ			کہ
انہیں		وہ			یہ
امید		امید			امید
ہے		ہے			ہے
کہ		کہ			کہ
جب		جب			جب
ہاشن		ہاشن			ہاشنششششش
تلک		تلک			تلکل
رتنے		رتنے			رتن
میچ		میچ			میچ
فکسنگ		فکسنگ			فکسنگگننہ
کے		کے			کا
تعلق		تعلق			تعلقللل
سے		سے			سے
پردے		پردہ			پردےر
فاش		فاش			فاش
کریں_گے		کر			کر
تو		تو			تو
مزید		مزید			مزید
بڑے		بڑا			بڑا
کھلاڑیوں		کھلاڑی			کھلاڑی
کے		کا			کا
نام		نام			نام
سامنے		سامنے			سامنے
آئیں_گے		آ			آ
۔		۔			۔
لطیف		لطیف			لطیفییییی
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
وہ		وہ			وہ
تلک		تلک			تلکل
رتنے		رتنے			رتن
کو		کو			کو
شخصی		شخصی			شخصی
طور		طور			طور
پر		پر			پر
جانتے		جا			جان
ہیں		ہے			ہے
۔		۔			۔
انہوں		وہ			وہ
(		(			(
تلک		تلک			تلکل
رتنے		رتنے			رتن
)		)			)
نے		نے			نے
1993		1993			1993
-		-			-
94		94			94
مےں		مےں			مےں
بھی		بھی			بھی
اس		وہ			یہ
تعلق		تعلق			تعلقللل
سے		سے			سے
ان		وہ			یہ
سے		سے			سے
کچھ		کچھ			کچھھ
کہا		کہہ			کہہ
تھا		تھا			تھا
۔		۔			۔
راشد		راشد			راشد
لطیف		لطیف			لطیفییییی
نے		نے			نے
جو		جو			جو
سابق		سابق			سابقق
ٹسٹ		ٹسٹ			ٹسٹ
وکٹ		وکٹ			وکٹ
کیپر		کیپر			کیپری
بھی		بھی			بھی
ہےں		ہے			ہے
,		,			,
کہا		کہہ			کہہ
کہ		کہ			کہ
جہاں		جہاں			جہاں
تک		تک			تک
وہ		وہ			وہ
جانتے		جا			جان
ہےں		ہے			ہے
ان		وہ			یہ
کے		کا			کا
خیال		خیال			خیال
مےں		مےں			مےں
تلک		تلک			تلکل
رتنے		رتنے			رتن
اس		وہ			یہ
تعلق		تعلق			تعلقللل
سے		سے			سے
اپنے		اپنا			اپنا
عزم		عزم			عزم
کا		کا			کا
احترام		احترام			احترام
کریں_گے		کر			کر
اور		اور			اور
اگر		اگر			اگر
وہ		وہ			وہ
حقائق		حقائق			حق
کا		کا			کا
انکشاف		انکشاف			انکشاف
کرتے		کر			کر
ہےں		ہے			ہے
تو		تو			تو
یہ		یہ			یہ
ذیلی		ذیلی			ذیلییی
براعظم		براعظم			براعظم
کے		کا			کا
کچھ		کچھ			کچھھ
کھلاڑیوں		کھلاڑی			کھلاڑی
کے		کے			کا
لئے		لئے			لئے
انتہائی		انتہائی			انتہائی
تباہ_کن		تباہ_کن			تااہ_کن
ہوگا		ہو			ہو
تاہم		تاہم			تاہم
اگر		اگر			اگر
کوئی		کوئی			کوئیی
معاملت		معاملت			معاملتت
کر		کر			کر
لی		لے			لے
جاتی		جا			جا
ہے		ہے			ہے
تو		تو			تو
پھر		پھر			پھرھ
سب		سب			سب
کچھ		کچھ			کچھھ
پوشیدہ		پوشیدہ			پوشیدہہ
رہ		رہ			رہ
سکتا		سک			سک
ہے		ہے			ہے
۔		۔			۔
گذشتہ		گذشتہ			گذشتہف
ہفتے		ہفتہ			ہف
اےک		اےک			اےک
انٹرویو		انٹرویو			انٹرویو
مےں		مےں			مےں
تلک		تلک			تلکل
رتنے		رتنے			رتن
نے		نے			نے
اعتراف		اعتراف			اعتراف
کیا		کر			کر
تھا		تھا			تھا
کہ		کہ			کہ
سری		سری			سری
لنکا		لنکا			لنکاو
کی		کا			کا
ٹیم		ٹیم			ٹیم
1992		1992			1992
سے		سے			سے
میچ		میچ			میچ
فکسنگ		فکسنگ			فکسنگگننہ
مےں		مےں			مےں
ملوث		ملوث			ملوث
ہے		ہے			ہے
۔		۔			۔
سری		سری			سری
لنکا		لنکا			لنکاو
کے		کے			کا
لئے		لئے			لئے
83		83			83
ٹسٹ		ٹسٹ			ٹسٹ
اور		اور			اور
200		200			200
ونڈے		ونڈے			ونڈے
میچس		میچس			میچس
کھیلنے		کھیل			کھیل
والے		والا			والا
تلک		تلک			تلکل
رتنے		رتنے			رتن
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
وہ		وہ			وہ
اپنے		اپنا			اپنا
الزامات		الزام			الزام
کو		کو			کو
درست		درست			درستت
ثابت		ثابت			ثابت
کرنے		کر			کر
تیار		تیار			تیار
ہےں		ہے			ہے
اور		اور			اور
جو		جو			جو
لوگ		لوگ			لوگ
ملوث		ملوث			ملوث
ہےں		ہے			ہے
ان		وہ			یہ
کے		کا			کا
ناموں		نام			نام
کا		کا			کا
بھی		بھی			بھی
انکشاف		انکشاف			انکشاف
کریں_گے		کر			کر
۔		۔			۔
انٹرویو		انٹرویو			انٹرویو
کے		کے			کا
دوران		دوران			دوران
تلک		تلک			تلکل
رتنے		رتنے			رتن
کا		کا			کا
کہنا		کہہ			کہہہ
تھا		تھا			تھا
کہ		کہ			کہ
میچ		میچ			میچ
فکسنگ		فکسنگ			فکسنگگننہ
ایسی		ایسی			ایسیا
چیز		چیز			چیز
ہے		ہے			ہے
جو		جو			جو
سری		سری			سری
لنکا		لنکا			لنکاو
کرکٹ		کرکٹ			کرکٹ
مےں		مےں			مےں
کچھ		کچھ			کچھھ
عرصہ		عرصہ			عرصہہ
سے		سے			سے
ہے		ہے			ہے
۔		۔			۔
یہ		یہ			یہ
آج		آج			آج
بھی		بھی			بھی
کینسر		کینسر			کینسرو
کی		کا			کا
طرح		طرح			طرحر
پھیل		پھیل			پھیلییی
رہی		رہ			رہ
ہے		ہے			ہے
۔		۔			۔
ان		وہ			یہ
کی		کا			کا
معلومات		معلومات			معلومات
کے		کے			کا
مطابق		مطابق			مطابقطباا
سری		سری			سری
لنکا		لنکا			لنکاو
کرکٹ		کرکٹ			کرکٹ
مےں		مےں			مےں
1992		1992			1992
سے		سے			سے
میچ		میچ			میچ
فکسنگ		فکسنگ			فکسنگگننہ
چل		چل			چل
رہی		رہ			رہ
ہے		ہے			ہے
۔		۔			۔
عالمی		عالمی			عالمی
رینکنگ		رینکنگ			رینکنگھہ
مےں		مےں			مےں
42		42			42
واں		واں			واں
مقام		مقام			مقام
رکھنے		رکھ			رکھھ
والی		والا			والا
ونسی		ونسی			ونسیٹ
نے		نے			نے
بارسیلونا		بارسیلونا			بارسینونی
مےں		مےں			مےں
اپنی		اپنا			اپنا
کامیابیوں		کامیابی			کامیابی
کا		کا			کا
سلسلہ		سلسلہ			سلسلہل
بھی		بھی			بھی
وسیع		وسیع			وسیع
کر		کر			کر
لیا		لے			لے
ہے		ہے			ہے
اور		اور			اور
وہ		وہ			وہ
یہاں		یہاں			یہاں
14		14			14
میچس		میچس			میچس
جیت		جیت			جیت
چکی		چک			چک
ہےں		ہے			ہے
جبکہ		جبکہ			جبکہی
انہیں		وہ			یہ
صرف		صرف			صرف
اےک		اےک			اےک
مےں		مےں			مےں
شکست		شکست			شکستت
ہوئی		ہو			ہو
ہے		ہے			ہے
۔		۔			۔
عالمی		عالمی			عالمی
رینکنگ		رینکنگ			رینکنگھہ
مےں		مےں			مےں
42		42			42
واں		واں			واں
مقام		مقام			مقام
رکھنے		رکھ			رکھھ
والی		والا			والا
ونسی		ونسی			ونسیٹ
نے		نے			نے
بارسیلونا		بارسیلونا			بارسینونی
مےں		مےں			مےں
اپنی		اپنا			اپنا
کامیابیوں		کامیابی			کامیابی
کا		کا			کا
سلسلہ		سلسلہ			سلسلہل
بھی		بھی			بھی
وسیع		وسیع			وسیع
کر		کر			کر
لیا		لے			لے
ہے		ہے			ہے
اور		اور			اور
وہ		وہ			وہ
یہاں		یہاں			یہاں
14		14			14
میچس		میچس			میچس
جیت		جیت			جیت
چکی		چک			چک
ہےں		ہے			ہے
جبکہ		جبکہ			جبکہی
انہیں		وہ			یہ
صرف		صرف			صرف
اےک		اےک			اےک
مےں		مےں			مےں
شکست		شکست			شکستت
ہوئی		ہو			ہو
ہے		ہے			ہے
۔		۔			۔
گذشتہ		گذشتہ			گذشتہف
سال		سال			سال
وہ		وہ			وہ
خطاب		خطاب			خطابب
حاصل		حاصل			حاصل
نہیں		نہیں			نہیں
کر		کر			کر
سکیں		سک			سک
تاہم		تاہم			تاہم
اطالوی		اطالوی			اطالوی
کھلاڑی		کھلاڑی			کھلاڑی
فرانسیسکا		فرانسیسکا			فرانسیککا
شیوون		شیوون			شیوون
نے		نے			نے
خطاب		خطاب			خطابب
جیتا		جیت			جیت
تھا		تھا			تھا
۔		۔			۔
ونسی		ونسی			ونسیٹ
نے		نے			نے
اپنے		اپنا			اپنا
کیرئیر		کیرئیر			کیرییریییییی
کا		کا			کا
چوتھا		چوتھا			چوتھا
خطاب		خطاب			خطابب
جیتنے		جیت			جیت
کے		کے			کا
بعد		بعد			بعد
اظہار		اظہار			اظہارہ
خیال		خیال			خیال
کرتے		کر			کر
ہوئے		ہو			ہو
کہا		کہہ			کہہ
کہ		کہ			کہ
بارسیلونا		بارسیلونا			بارسینونی
ان		وہ			یہ
کے		کے			کا
لئے		لئے			لئے
خوش_قسمت		خوش_قسمت			خوش_ومتت
رہا		رہ			رہ
ہے		ہے			ہے
اور		اور			اور
وہ		وہ			وہ
اسے		یہ			یہ
کافی		کافی			کافی
پسند		پسند			پسند
کرتی		کر			کر
ہےں		ہے			ہے
کیونکہ		کیونکہ			کیونکہہ
وہ		وہ			وہ
یہاں		یہاں			یہاں
بہترین		بہترین			بہترین
ٹینس		ٹینس			ٹینس
کھیلتی		کھیل			کھیلتی
ہیں		ہے			ہے
۔		۔			۔
فائنل		فائنل			فائنل
مےں		مےں			مےں
حالانکہ		حالانکہ			حالانکہ
ونسی		ونسی			ونسیٹ
کی		کا			کا
سرویس		سرویس			سرویس
کو		کو			کو
چھ		چھ			چھ
مرتبہ		مرتبہ			مرتبہ_
بریک		بریک			بریکیی
کیا		کر			کر
گیا		جا			جا
لیکن		لیکن			لیکنی
انہوں		وہ			وہ
نے		نے			نے
بھی		بھی			بھی
جوابی		جوابی			جوابی
انداز		انداز			انداز
مےں		مےں			مےں
بہترین		بہترین			بہترین
مظاہرہ		مظاہرہ			مظاہرہددہ
کیا		کر			کر
اور		اور			اور
مخالف		مخالف			مخالف
کھلاڑی		کھلاڑی			کھلاڑی
کی		کا			کا
سرویس		سرویس			سرویس
کو		کو			کو
بریک		بریک			بریکیی
کرتے		کر			کر
ہوئے		ہو			ہو
اپنی		اپنا			اپنا
سبقت		سبقت			سبقت__
دوبارہ		دوبارہ			دوبارہہ
حاصل		حاصل			حاصل
کی		کر			کا
۔		۔			۔
پہلے		پہلا			پہلے
سیٹ		سیٹ			سیٹ
مےں		مےں			مےں
انہیں		وہ			یہ
شکست		شکست			شکستت
ہو		ہو			ہو
گئی		جا			جا
تھی		تھا			تھا
تاہم		تاہم			تاہم
دوسرے		دوسرا			دوسرا
اور		اور			اور
تیسرے		تیسرے			تیسرے
سیٹ		سیٹ			سیٹ
مےں		مےں			مےں
انہوں		وہ			وہ
نے		نے			نے
حریف		حریف			حریفی
کھلاڑی		کھلاڑی			کھلاڑی
کو		کو			کو
سنبھلنے		سنبھل			سنبھن
کا		کا			کا
موقع		موقع			موقع
دئے		دے			دے
بغیر		بغیر			بغیر
بہترین		بہترین			بہترین
مظاہرہ		مظاہرہ			مظاہرہددہ
کیا		کر			کر
اور		اور			اور
خطاب		خطاب			خطابب
جیت		جیت			جیت
لیا		لے			لے
۔		۔			۔
سابق		سابق			سابقق
سری_لنکائی		سری_لنکائی			سری_لنکائی
کپتان		کپتان			کپتان
کمار		کمار			کمار
سنگاکارا		سنگاکارا			سنگاکار
نے		نے			نے
آج		آج			آج
کہا		کہہ			کہہ
کہ		کہ			کہ
یہ		یہ			یہ
شرم		شرم			شرم
کی		کا			کا
بات		بات			بات
ہے		ہے			ہے
کہ		کہ			کہ
کوئی		کوئی			کوئیی
بھی		بھی			بھی
ہندوستانی		ہندوستانی			ہندوستانی
عالمی		عالمی			عالمی
چمپئن		چمپئن			چپپئنپپپپ
ٹیم		ٹیم			ٹیم
کی		کا			کا
کوچنگ		کوچنگ			کوچنگھ
کا		کا			کا
اہل		اہل			اہل
قرار		قرار			قرارر
نہیں		نہیں			نہیں
دیا		دے			دے
گیا		جا			جا
ہے		ہے			ہے
۔		۔			۔
سنگاکارا		سنگاکارا			سنگاکار
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
حیرت		حیرت			حیرت
کی		کا			کا
بات		بات			بات
یہ		یہ			یہ
ہے		ہے			ہے
کہ		کہ			کہ
کئی		کئی			کئیئ
غیرمعمولی		غیرمعمولی			غیرمعمولی
کرکٹرس		کرکٹرس			کرکٹرس
کی		کا			کا
موجودگی		موجودگی			موجودگی
کے		کے			کا
باوجود		باوجود			باوجود
بی		بی			بی
سی		سی			سی
سی		سی			سی
آئی		آئی			آئی
نے		نے			نے
ان		وہ			یہ
مےں		مےں			مےں
سے		سے			سے
کسی		کوئی			کوئییییییییییییییی
کو		کو			کو
ٹیم		ٹیم			ٹیم
کی		کا			کا
کوچنگ		کوچنگ			کوچنگھ
کا		کا			کا
اہل		اہل			اہل
نہیں		نہیں			نہیں
سمجھا		سمجھ			سمجھ
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
یہاں		یہاں			یہاں
بےشمار		بےشمار			بےشمار
بہترین		بہترین			بہترین
کرکٹرس		کرکٹرس			کرکٹرس
ہےں		ہے			ہے
لیکن		لیکن			لیکنی
شرم		شرم			شرم
کی		کا			کا
بات		بات			بات
ہے		ہے			ہے
کہ		کہ			کہ
بی		بی			بی
سی		سی			سی
سی		سی			سی
آئی		آئی			آئی
نے		نے			نے
کسی		کوئی			کوئییییییییییییییی
کو		کو			کو
بھی		بھی			بھی
قومی		قومی			قومی
ٹیم		ٹیم			ٹیم
کی		کا			کا
کوچنگ		کوچنگ			کوچنگھ
کا		کا			کا
اہل		اہل			اہل
نہیں		نہیں			نہیں
سمجھا		سمجھ			سمجھ
ہے		ہے			ہے
۔		۔			۔
سنگاکارا		سنگاکارا			سنگاکار
کے		کا			کا
خیال		خیال			خیال
مےں		مےں			مےں
کرکٹ		کرکٹ			کرکٹ
بورڈز		بورڈز			بورڈز
کے		کے			کا
لئے		لئے			لئے
یہ		یہ			یہ
اہمیت		اہمیت			اہمیتت
کی		کا			کا
بات		بات			بات
ہے		ہے			ہے
کہ		کہ			کہ
وہ		وہ			وہ
گھریلو		گھریلو			گھریلو
کوچس		کوچس			کوچس
کی		کا			کا
خدمات		خدمت			خدمت
حاصل		حاصل			حاصل
کریں		کر			کر
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
ایسا		ایسا			ایسا
کرنا		کر			کر
بہت		بہت			بہتہ
ضروری		ضروری			ضروری
ہے		ہے			ہے
۔		۔			۔
جس		جو			جو
طرح		طرح			طرحر
گھریلو		گھریلو			گھریلو
کھلاڑیوں		کھلاڑی			کھلاڑی
کی		کا			کا
صلاحیتوں		صلاحیت			صلاحیت
کو		کو			کو
فروغ		فروغ			فروغہہہہ
دیتے		دے			دے
ہوئے		ہو			ہو
ان		وہ			یہ
کی		کا			کا
خدمات		خدمت			خدمت
حاصل		حاصل			حاصل
کی		کر			کا
جاتی		جا			جا
ہےں		ہے			ہے
اسی		وہ			یہی
طرح		طرح			طرحر
کوچس		کوچس			کوچس
کے		کا			کا
معاملہ		معاملہ			معاملہہ
مےں		مےں			مےں
بھی		بھی			بھی
یہی		یہ			یہییییی
طریقہ_کار		طریقہ_کار			طریقہ_کار
اختیار		اختیار			اختیار
کیا		کر			کر
جانا		جا			جا
چاہئے		چاہئے			چاہئےےےےےے
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
تاہم		تاہم			تاہم
اعتراف		اعتراف			اعتراف
کیا		کر			کر
کہ		کہ			کہ
قابل		قابل			قابل
اور		اور			اور
اہل		اہل			اہل
کوچس		کوچس			کوچس
کی		کا			کا
خدمات		خدمت			خدمت
کا		کا			کا
حصول		حصول			حصول
کرکٹ		کرکٹ			کرکٹ
بورڈز		بورڈز			بورڈز
کے		کے			کا
لئے		لئے			لئے
بہت		بہت			بہتہ
مشکل		مشکل			مشکلححححح
کام		کام			کام
ہے		ہے			ہے
۔		۔			۔
یہ		یہ			یہ
کھلاڑیوں		کھلاڑی			کھلاڑی
کی		کا			کا
پسند		پسند			پسند
بھی		بھی			بھی
ہوتی		ہو			ہو
ہے		ہے			ہے
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
سری_لنکا		سری			سری_لنکائگل
مےں		مےں			مےں
چندیکا		چندیکا			چندیکاہ
ہتھورا		ہتھورا			ہتھور
سنگھے		سنگھے			سنگھ
کی		کا			کا
خدمات		خدمت			خدمت
حاصل		حاصل			حاصل
کرنے		کر			کر
کا		کا			کا
موقع		موقع			موقع
تھا		تھا			تھا
لیکن		لیکن			لیکنی
افسوس		افسوس			افسوس
کی		کا			کا
بات		بات			بات
ہے		ہے			ہے
کہ		کہ			کہ
وہ		وہ			وہ
آسٹریلیا		آسٹریلیا			آسٹریلی
منتقل		منتقل			منتقللل
ہو		ہو			ہو
گئے		جا			جا
ہیں		ہے			ہے
۔		۔			۔
الہ_آباد		الہ_آباد			الہ_آباد
ہائیکورٹ		ہائیکورٹ			ہائیکورٹ
نے		نے			نے
بابری		بابری			بابری
مسجد		مسجد			مسجد
کے		کا			کا
مقام		مقام			مقام
پر		پر			پر
جوں		جوں			جوں
کا		کا			کا
توں		توں			توں
کے		کا			کا
موقف		موقف			موقف
کو		کو			کو
31		31			31
اگست		اگست			اگستفف
تک		تک			تک
توسیع		توسیع			توسیعی
دی		دے			دے
ہے		ہے			ہے
۔		۔			۔
لکھنؤ		لکھنؤ			لکھنھھ
بینچ		بینچ			بینچو
نے		نے			نے
اپنے		اپنا			اپنا
دفتر		دفتر			دفتر
کو		کو			کو
ہدایت		ہدایت			ہدایتت
دی		دے			دے
ہے		ہے			ہے
کہ		کہ			کہ
وہ		وہ			وہ
گزشتہ		گزشتہ			گزشتہگ
سال		سال			سال
30		30			30
ستمبر		ستمبر			ستمبر
کے		کا			کا
فیصلے		فیصلے			فیصلہی
کے		کا			کا
اعلان		اعلان			اعلان
کو		کو			کو
قطعیت		قطعیت			قطعیتیح
دی		دے			دے
جبکہ		جبکہ			جبکہی
اس		یہ			یہ
کیس		کیس			کیس
کے		کا			کا
مختلف		مختلف			مختلفللل
فریقین		فریقین			فریقی
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
داخل_کردہ		داخل_کردہ			داخل_کردہ
اعتراضات		اعتراض			اعتراضا
کو		کو			کو
خارج		خارج			خارج
کر		کر			کر
دیا		دے			دے
۔		۔			۔
بابری		بابری			بابری
مسجد		مسجد			مسجد
-		-			-
رام		رام			رام
جنم		جنم			جنم
بھومی		بھومی			بھومی
ملکیت		ملکیت			ملکیتییک
مقدمہ		مقدمہ			مقدمہددد
مےں		مےں			مےں
شامل		شامل			شامل
فریقین		فریق			فریقی
مےں		مےں			مےں
سے		سے			سے
اےک		اےک			اےک
ہندو		ہندو			ہندو
مہا		مہا			مہ
سبھا		سبھا			سبھا
کے		کا			کا
وکیل		وکیل			وکیلی
ایچ		ایچ			ایچ
ایس		ایس			ایس
جین		جین			جین
کے		کے			کا
مطابق		مطابق			مطابقطباا
خصوصی		خصوصی			خصوصی
مکمل		مکمل			مکمل
بینچ		بینچ			بینچو
جو		جو			جو
جسٹس		جسٹس			جسٹس
ایس		ایس			ایس
یو		یو			یو
خان		خان			خان
,		,			,
سدھیر		سدھیر			سدھیر
اگروال		اگروال			اگروال
اور		اور			اور
ویریندر		ویریندر			ویریندر
کمار		کمار			کمار
ڈکشٹ		ڈکشٹ			ڈکشٹششششش
پر		پر			پر
مشتمل		مشتمل			مشتمل
ہے		ہے			ہے
,		,			,
یہ		یہ			یہ
وضاحت		وضاحت			وضاحت
کرے		کر			کر
کہ		کہ			کہ
ستمبر		ستمبر			ستمبر
مےں		مےں			مےں
تین		تین			تین
رکنی		رکنی			رکنی
بینچ		بینچ			بینچو
نے		نے			نے
جو		جو			جو
علیحدہ		علیحدہ			علیحدہ
فیصلہ		فیصلہ			فیصلہی
سنائے		سنا			سنا
ہےں		ہے			ہے
,		,			,
ان		یہ			یہ
مےں		مےں			مےں
سے		سے			سے
اکثریتی		اکثریتی			اکثریتی
رائے		رائے			رائے
کو		کو			کو
شامل		شامل			شامل
کرتے		کر			کر
ہوئے		ہو			ہو
عدالتی		عدالتی			عدالتی
فرمان		فرمان			فرمان
کو		کو			کو
قطعیت		قطعیت			قطعیتیح
دی		دے			دے
جائے		جا			جا
۔		۔			۔
عدالت		عدالت			عدالتت
نے		نے			نے
فیض_آباد		فیض_آباد			فیض_آبرد
کمشنر		کمشنر			کمشنر
کو		کو			کو
اجازت		اجازت			اجازت
دی		دے			دے
کہ		کہ			کہ
وہ		وہ			وہ
عارضی		عارضی			عارضی
مندر		مندر			مندر
کے		کا			کا
سائبان		سائبان			سائبان
اور		اور			اور
رسیوں		رسی			رسی
کو		کو			کو
تبدیل		تبدیل			تبدیلل
کریں		کر			کر
۔		۔			۔
متحدہ		متحدہ			متحدہہ
عرب		عرب			عرب
امارات		امارات			امار
(		(			(
یو		یو			یو
اے		اے			اے
ای		ای			ای
)		)			)
کی		کا			کا
عدالت		عدالت			عدالتت
مےں		مےں			مےں
17		17			17
ہندوستانی		ہندوستانی			ہندوستانی
شہریوں		شہری			شہری
کی		کا			کا
دائرکردہ		دائرکردہ			دائرکردہہ
اپیل		اپیل			اپیل
پر		پر			پر
سماعت		سماعت			سماعت
19		19			19
مئی		مئی			مئی
تک		تک			تک
ملتوی		ملتوی			ملتویو
کر		کر			کر
دی		دے			دے
۔		۔			۔
پاکستانی		پاکستانی			پاکستانی
شخص		شخص			شخص
کے		کا			کا
قتل		قتل			قتل_
پر		پر			پر
ان		یہ			یہ
تمام		تمام			تمام
کو		کو			کو
سنائی		سنا			سنائ
گئی		جا			جا
سزا		سزا			سزا
کے		کے			کا
خلاف		خلاف			خلاف
یہ		یہ			یہ
اپیل		اپیل			اپیل
دائر		دائر			دائر
کی		کر			کا
گئی		جا			جا
تھی		تھا			تھا
۔		۔			۔
عدالت		عدالت			عدالتت
نے		نے			نے
مدعی		مدعی			مدعی
علیہان		علیہان			علیہان
اور		اور			اور
مقتول		مقتول			مقتول
کے		کا			کا
ورثا		ورثا!			ورثار
کو		کو			کو
ہدایت		ہدایت			ہدایتت
دی		دے			دے
کہ		کہ			کہ
وہ		وہ			وہ
آئندہ		آئندہ			آئندہہ
سماعت		سماعت			سماعت
سے		سے			سے
قبل		قبل			قبل
خون_بہا		خون_بہا			خون_ہ
کا		کا			کا
